,workingday,dteday,cnt
168,No,2012-06-17,6978
169,No,2012-06-23,7458
170,No,2012-06-24,6891
171,No,2012-06-30,5687
172,No,2012-07-01,5531
173,No,2012-07-04,7403
174,No,2012-07-07,4840
175,No,2012-07-08,4672
176,No,2012-07-14,6969
177,No,2012-07-15,6031
178,No,2012-07-21,4459
179,No,2012-07-22,7410
180,No,2012-07-28,6685
181,No,2012-07-29,6597
182,No,2012-08-04,6824
183,No,2012-08-05,5464
184,No,2012-08-11,6299
185,No,2012-08-12,6544
186,No,2012-08-18,7865
187,No,2012-08-19,4549
188,No,2012-08-25,6053
189,No,2012-08-26,5255
190,No,2012-09-01,6140
191,No,2012-09-02,5810
192,No,2012-09-03,6034
193,No,2012-09-08,5976
194,No,2012-09-09,8227
195,No,2012-09-15,8714
196,No,2012-09-16,7333
197,No,2012-09-22,8395
198,No,2012-09-23,7907
199,No,2012-09-29,8555
200,No,2012-09-30,6889
201,No,2012-10-06,7965
202,No,2012-10-07,3510
203,No,2012-10-08,5478
204,No,2012-10-13,7109
205,No,2012-10-14,6639
206,No,2012-10-20,8090
207,No,2012-10-21,6824
208,No,2012-10-27,7852
209,No,2012-10-28,4459
210,No,2012-11-03,5138
211,No,2012-11-04,5107
212,No,2012-11-10,6536
213,No,2012-11-11,6852
214,No,2012-11-12,6269
215,No,2012-11-17,5629
216,No,2012-11-18,4669
217,No,2012-11-22,2425
218,No,2012-11-24,2277
219,No,2012-11-25,2424
220,No,2012-12-01,5191
221,No,2012-12-02,4649
222,No,2012-12-08,5582
223,No,2012-12-09,3228
224,No,2012-12-15,5047
225,No,2012-12-16,3786
226,No,2012-12-22,1749
227,No,2012-12-23,1787
228,No,2012-12-25,1013
229,No,2012-12-29,1341
230,No,2012-12-30,1796
231,Yes,2011-01-03,1349
232,Yes,2011-01-04,1562
233,Yes,2011-01-05,1600
234,Yes,2011-01-06,1606
235,Yes,2011-01-07,1510
236,Yes,2011-01-10,1321
237,Yes,2011-01-11,1263
238,Yes,2011-01-12,1162
239,Yes,2011-01-13,1406
240,Yes,2011-01-14,1421
241,Yes,2011-01-18,683
242,Yes,2011-01-19,1650
243,Yes,2011-01-20,1927
244,Yes,2011-01-21,1543
245,Yes,2011-01-24,1416
246,Yes,2011-01-25,1985
247,Yes,2011-01-26,506
248,Yes,2011-01-27,431
249,Yes,2011-01-28,1167
250,Yes,2011-01-31,1501
251,Yes,2011-02-01,1360
252,Yes,2011-02-02,1526
253,Yes,2011-02-03,1550
254,Yes,2011-02-04,1708
255,Yes,2011-02-07,1712
256,Yes,2011-02-08,1530
257,Yes,2011-02-09,1605
258,Yes,2011-02-10,1538
259,Yes,2011-02-11,1746
260,Yes,2011-02-14,1913
261,Yes,2011-02-15,1815
262,Yes,2011-02-16,2115
263,Yes,2011-02-17,2475
264,Yes,2011-02-18,2927
265,Yes,2011-02-22,1450
266,Yes,2011-02-23,1917
267,Yes,2011-02-24,1807
268,Yes,2011-02-25,1461
269,Yes,2011-02-28,1446
270,Yes,2011-03-01,1851
271,Yes,2011-03-02,2134
272,Yes,2011-03-03,1685
273,Yes,2011-03-04,1944
274,Yes,2011-03-07,1872
275,Yes,2011-03-08,2133
276,Yes,2011-03-09,1891
277,Yes,2011-03-10,623
278,Yes,2011-03-11,1977
279,Yes,2011-03-14,2046
280,Yes,2011-03-15,2056
281,Yes,2011-03-16,2192
282,Yes,2011-03-17,2744
283,Yes,2011-03-18,3239
284,Yes,2011-03-21,2077
285,Yes,2011-03-22,2703
286,Yes,2011-03-23,2121
287,Yes,2011-03-24,1865
288,Yes,2011-03-25,2210
289,Yes,2011-03-28,2028
290,Yes,2011-03-29,2425
291,Yes,2011-03-30,1536
292,Yes,2011-03-31,1685
293,Yes,2011-04-01,2227
294,Yes,2011-04-04,3115
295,Yes,2011-04-05,1795
296,Yes,2011-04-06,2808
297,Yes,2011-04-07,3141
298,Yes,2011-04-08,1471
299,Yes,2011-04-11,3348
300,Yes,2011-04-12,2034
301,Yes,2011-04-13,2162
302,Yes,2011-04-14,3267
303,Yes,2011-04-18,3429
304,Yes,2011-04-19,3204
305,Yes,2011-04-20,3944
306,Yes,2011-04-21,4189
307,Yes,2011-04-22,1683
308,Yes,2011-04-25,4073
309,Yes,2011-04-26,4400
310,Yes,2011-04-27,3872
311,Yes,2011-04-28,4058
312,Yes,2011-04-29,4595
313,Yes,2011-05-02,4401
314,Yes,2011-05-03,4451
315,Yes,2011-05-04,2633
316,Yes,2011-05-05,4433
317,Yes,2011-05-06,4608
318,Yes,2011-05-09,4362
319,Yes,2011-05-10,4803
320,Yes,2011-05-11,4182
321,Yes,2011-05-12,4864
322,Yes,2011-05-13,4105
323,Yes,2011-05-16,3958
324,Yes,2011-05-17,4123
325,Yes,2011-05-18,3855
326,Yes,2011-05-19,4575
327,Yes,2011-05-20,4917
328,Yes,2011-05-23,4274
329,Yes,2011-05-24,4492
330,Yes,2011-05-25,4978
331,Yes,2011-05-26,4677
332,Yes,2011-05-27,4679
333,Yes,2011-05-31,3982
334,Yes,2011-06-01,3974
335,Yes,2011-06-02,4968
336,Yes,2011-06-03,5312
337,Yes,2011-06-06,4548
338,Yes,2011-06-07,4833
339,Yes,2011-06-08,4401
340,Yes,2011-06-09,3915
341,Yes,2011-06-10,4586
342,Yes,2011-06-13,5020
343,Yes,2011-06-14,4891
344,Yes,2011-06-15,5180
345,Yes,2011-06-16,3767
346,Yes,2011-06-17,4844
347,Yes,2011-06-20,4010
348,Yes,2011-06-21,4835
349,Yes,2011-06-22,4507
350,Yes,2011-06-23,4790
351,Yes,2011-06-24,4991
352,Yes,2011-06-27,4708
353,Yes,2011-06-28,4648
354,Yes,2011-06-29,5225
355,Yes,2011-06-30,5515
356,Yes,2011-07-01,5362
357,Yes,2011-07-05,4665
358,Yes,2011-07-06,4629
359,Yes,2011-07-07,4592
360,Yes,2011-07-08,4040
361,Yes,2011-07-11,4086
362,Yes,2011-07-12,4258
363,Yes,2011-07-13,4342
364,Yes,2011-07-14,5084
365,Yes,2011-07-15,5538
366,Yes,2011-07-18,4458
367,Yes,2011-07-19,4541
368,Yes,2011-07-20,4332
369,Yes,2011-07-21,3784
370,Yes,2011-07-22,3387
371,Yes,2011-07-25,3840
372,Yes,2011-07-26,4590
373,Yes,2011-07-27,4656
374,Yes,2011-07-28,4390
375,Yes,2011-07-29,3846
376,Yes,2011-08-01,4266
377,Yes,2011-08-02,4845
378,Yes,2011-08-03,3574
379,Yes,2011-08-04,4576
380,Yes,2011-08-05,4866
381,Yes,2011-08-08,4326
382,Yes,2011-08-09,4602
383,Yes,2011-08-10,4780
384,Yes,2011-08-11,4792
385,Yes,2011-08-12,4905
386,Yes,2011-08-15,4338
387,Yes,2011-08-16,4725
388,Yes,2011-08-17,4694
389,Yes,2011-08-18,3805
390,Yes,2011-08-19,4153
391,Yes,2011-08-22,4758
392,Yes,2011-08-23,5895
393,Yes,2011-08-24,5130
394,Yes,2011-08-25,3542
395,Yes,2011-08-26,4661
396,Yes,2011-08-29,4634
397,Yes,2011-08-30,5204
398,Yes,2011-08-31,5058
399,Yes,2011-09-01,5115
400,Yes,2011-09-02,4727
401,Yes,2011-09-06,2710
402,Yes,2011-09-07,1996
403,Yes,2011-09-08,1842
404,Yes,2011-09-09,3544
405,Yes,2011-09-12,4713
406,Yes,2011-09-13,4763
407,Yes,2011-09-14,4785
408,Yes,2011-09-15,3659
409,Yes,2011-09-16,4760
410,Yes,2011-09-19,4539
411,Yes,2011-09-20,3641
412,Yes,2011-09-21,4352
413,Yes,2011-09-22,4795
414,Yes,2011-09-23,2395
415,Yes,2011-09-26,4630
416,Yes,2011-09-27,4120
417,Yes,2011-09-28,3907
418,Yes,2011-09-29,4839
419,Yes,2011-09-30,5202
420,Yes,2011-10-03,3570
421,Yes,2011-10-04,4456
422,Yes,2011-10-05,4826
423,Yes,2011-10-06,4765
424,Yes,2011-10-07,4985
425,Yes,2011-10-11,4563
426,Yes,2011-10-12,2416
427,Yes,2011-10-13,2913
428,Yes,2011-10-14,3644
429,Yes,2011-10-17,4570
430,Yes,2011-10-18,4748
431,Yes,2011-10-19,2424
432,Yes,2011-10-20,4195
433,Yes,2011-10-21,4304
434,Yes,2011-10-24,4187
435,Yes,2011-10-25,4687
436,Yes,2011-10-26,3894
437,Yes,2011-10-27,2659
438,Yes,2011-10-28,3747
439,Yes,2011-10-31,3669
440,Yes,2011-11-01,4068
441,Yes,2011-11-02,4186
442,Yes,2011-11-03,3974
443,Yes,2011-11-04,4046
444,Yes,2011-11-07,4035
445,Yes,2011-11-08,4205
446,Yes,2011-11-09,4109
447,Yes,2011-11-10,2933
448,Yes,2011-11-14,4486
449,Yes,2011-11-15,4195
450,Yes,2011-11-16,1817
451,Yes,2011-11-17,3053
452,Yes,2011-11-18,3392
453,Yes,2011-11-21,2765
454,Yes,2011-11-22,1607
455,Yes,2011-11-23,2566
456,Yes,2011-11-25,2792
457,Yes,2011-11-28,3867
458,Yes,2011-11-29,2914
459,Yes,2011-11-30,3613
460,Yes,2011-12-01,3727
461,Yes,2011-12-02,3940
462,Yes,2011-12-05,3811
463,Yes,2011-12-06,2594
464,Yes,2011-12-07,705
465,Yes,2011-12-08,3322
466,Yes,2011-12-09,3620
467,Yes,2011-12-12,3310
468,Yes,2011-12-13,3523
469,Yes,2011-12-14,3740
470,Yes,2011-12-15,3709
471,Yes,2011-12-16,3577
472,Yes,2011-12-19,3403
473,Yes,2011-12-20,3750
474,Yes,2011-12-21,2660
475,Yes,2011-12-22,3068
476,Yes,2011-12-23,2209
477,Yes,2011-12-27,1162
478,Yes,2011-12-28,2302
479,Yes,2011-12-29,2423
480,Yes,2011-12-30,2999
481,Yes,2012-01-03,2236
482,Yes,2012-01-04,2368
483,Yes,2012-01-05,3272
484,Yes,2012-01-06,4098
485,Yes,2012-01-09,2376
486,Yes,2012-01-10,3598
487,Yes,2012-01-11,2177
488,Yes,2012-01-12,4097
489,Yes,2012-01-13,3214
490,Yes,2012-01-17,2935
491,Yes,2012-01-18,3376
492,Yes,2012-01-19,3292
493,Yes,2012-01-20,3163
494,Yes,2012-01-23,2432
495,Yes,2012-01-24,4339
496,Yes,2012-01-25,4270
497,Yes,2012-01-26,4075
498,Yes,2012-01-27,3456
499,Yes,2012-01-30,3624
500,Yes,2012-01-31,4509
501,Yes,2012-02-01,4579
502,Yes,2012-02-02,3761
503,Yes,2012-02-03,4151
504,Yes,2012-02-06,3784
505,Yes,2012-02-07,4375
506,Yes,2012-02-08,2802
507,Yes,2012-02-09,3830
508,Yes,2012-02-10,3831
509,Yes,2012-02-13,3422
510,Yes,2012-02-14,3922
511,Yes,2012-02-15,4169
512,Yes,2012-02-16,3005
513,Yes,2012-02-17,4154
514,Yes,2012-02-21,3777
515,Yes,2012-02-22,4773
516,Yes,2012-02-23,5062
517,Yes,2012-02-24,3487
518,Yes,2012-02-27,4322
519,Yes,2012-02-28,4363
520,Yes,2012-02-29,1834
521,Yes,2012-03-01,4990
522,Yes,2012-03-02,3194
523,Yes,2012-03-05,3333
524,Yes,2012-03-06,3956
525,Yes,2012-03-07,4916
526,Yes,2012-03-08,5382
527,Yes,2012-03-09,4569
528,Yes,2012-03-12,5298
529,Yes,2012-03-13,5847
530,Yes,2012-03-14,6312
531,Yes,2012-03-15,6192
532,Yes,2012-03-16,4378
533,Yes,2012-03-19,6153
534,Yes,2012-03-20,6093
535,Yes,2012-03-21,6230
536,Yes,2012-03-22,6871
537,Yes,2012-03-23,8362
538,Yes,2012-03-26,5558
539,Yes,2012-03-27,5102
540,Yes,2012-03-28,5698
541,Yes,2012-03-29,6133
542,Yes,2012-03-30,5459
543,Yes,2012-04-02,5936
544,Yes,2012-04-03,6772
545,Yes,2012-04-04,6436
546,Yes,2012-04-05,6457
547,Yes,2012-04-06,6460
548,Yes,2012-04-09,5585
549,Yes,2012-04-10,5918
550,Yes,2012-04-11,4862
551,Yes,2012-04-12,5409
552,Yes,2012-04-13,6398
553,Yes,2012-04-17,6691
554,Yes,2012-04-18,4367
555,Yes,2012-04-19,6565
556,Yes,2012-04-20,7290
557,Yes,2012-04-23,3214
558,Yes,2012-04-24,5633
559,Yes,2012-04-25,6196
560,Yes,2012-04-26,5026
561,Yes,2012-04-27,6233
562,Yes,2012-04-30,5572
563,Yes,2012-05-01,5740
564,Yes,2012-05-02,6169
565,Yes,2012-05-03,6421
566,Yes,2012-05-04,6296
567,Yes,2012-05-07,6273
568,Yes,2012-05-08,5728
569,Yes,2012-05-09,4717
570,Yes,2012-05-10,6572
571,Yes,2012-05-11,7030
572,Yes,2012-05-14,2843
573,Yes,2012-05-15,5115
574,Yes,2012-05-16,7424
575,Yes,2012-05-17,7384
576,Yes,2012-05-18,7639
577,Yes,2012-05-21,4359
578,Yes,2012-05-22,6073
579,Yes,2012-05-23,5260
580,Yes,2012-05-24,6770
581,Yes,2012-05-25,6734
582,Yes,2012-05-29,5743
583,Yes,2012-05-30,6855
584,Yes,2012-05-31,7338
585,Yes,2012-06-01,4127
586,Yes,2012-06-04,6998
587,Yes,2012-06-05,7001
588,Yes,2012-06-06,7055
589,Yes,2012-06-07,7494
590,Yes,2012-06-08,7736
591,Yes,2012-06-11,6664
592,Yes,2012-06-12,4972
593,Yes,2012-06-13,7421
594,Yes,2012-06-14,7363
595,Yes,2012-06-15,7665
596,Yes,2012-06-18,5099
597,Yes,2012-06-19,6825
598,Yes,2012-06-20,6211
599,Yes,2012-06-21,5905
600,Yes,2012-06-22,5823
601,Yes,2012-06-25,6779
602,Yes,2012-06-26,7442
603,Yes,2012-06-27,7335
604,Yes,2012-06-28,6879
605,Yes,2012-06-29,5463
606,Yes,2012-07-02,6227
607,Yes,2012-07-03,6660
608,Yes,2012-07-05,6241
609,Yes,2012-07-06,6207
610,Yes,2012-07-09,6569
611,Yes,2012-07-10,6290
612,Yes,2012-07-11,7264
613,Yes,2012-07-12,7446
614,Yes,2012-07-13,7499
615,Yes,2012-07-16,6830
616,Yes,2012-07-17,6786
617,Yes,2012-07-18,5713
618,Yes,2012-07-19,6591
619,Yes,2012-07-20,5870
620,Yes,2012-07-23,6966
621,Yes,2012-07-24,7592
622,Yes,2012-07-25,8173
623,Yes,2012-07-26,6861
624,Yes,2012-07-27,6904
625,Yes,2012-07-30,7105
626,Yes,2012-07-31,7216
627,Yes,2012-08-01,7580
628,Yes,2012-08-02,7261
629,Yes,2012-08-03,7175
630,Yes,2012-08-06,7013
631,Yes,2012-08-07,7273
632,Yes,2012-08-08,7534
633,Yes,2012-08-09,7286
634,Yes,2012-08-10,5786
635,Yes,2012-08-13,6883
636,Yes,2012-08-14,6784
637,Yes,2012-08-15,7347
638,Yes,2012-08-16,7605
639,Yes,2012-08-17,7148
640,Yes,2012-08-20,6530
641,Yes,2012-08-21,7006
642,Yes,2012-08-22,7375
643,Yes,2012-08-23,7765
644,Yes,2012-08-24,7582
645,Yes,2012-08-27,6917
646,Yes,2012-08-28,7040
647,Yes,2012-08-29,7697
648,Yes,2012-08-30,7713
649,Yes,2012-08-31,7350
650,Yes,2012-09-04,6864
651,Yes,2012-09-05,7112
652,Yes,2012-09-06,6203
653,Yes,2012-09-07,7504
654,Yes,2012-09-10,7525
655,Yes,2012-09-11,7767
656,Yes,2012-09-12,7870
657,Yes,2012-09-13,7804
658,Yes,2012-09-14,8009
659,Yes,2012-09-17,6869
660,Yes,2012-09-18,4073
661,Yes,2012-09-19,7591
662,Yes,2012-09-20,7720
663,Yes,2012-09-21,8167
664,Yes,2012-09-24,7436
665,Yes,2012-09-25,7538
666,Yes,2012-09-26,7733
667,Yes,2012-09-27,7393
668,Yes,2012-09-28,7415
669,Yes,2012-10-01,6778
670,Yes,2012-10-02,4639
671,Yes,2012-10-03,7572
672,Yes,2012-10-04,7328
673,Yes,2012-10-05,8156
674,Yes,2012-10-09,6392
675,Yes,2012-10-10,7691
676,Yes,2012-10-11,7570
677,Yes,2012-10-12,7282
678,Yes,2012-10-15,5875
679,Yes,2012-10-16,7534
680,Yes,2012-10-17,7461
681,Yes,2012-10-18,7509
682,Yes,2012-10-19,5424
683,Yes,2012-10-22,7058
684,Yes,2012-10-23,7466
685,Yes,2012-10-24,7693
686,Yes,2012-10-25,7359
687,Yes,2012-10-26,7444
688,Yes,2012-10-29,22
689,Yes,2012-10-30,1096
690,Yes,2012-10-31,5566
691,Yes,2012-11-01,5986
692,Yes,2012-11-02,5847
693,Yes,2012-11-05,5259
694,Yes,2012-11-06,5686
695,Yes,2012-11-07,5035
696,Yes,2012-11-08,5315
697,Yes,2012-11-09,5992
698,Yes,2012-11-13,4094
699,Yes,2012-11-14,5495
700,Yes,2012-11-15,5445
701,Yes,2012-11-16,5698
702,Yes,2012-11-19,5499
703,Yes,2012-11-20,5634
704,Yes,2012-11-21,5146
705,Yes,2012-11-23,3910
706,Yes,2012-11-26,5087
707,Yes,2012-11-27,3959
708,Yes,2012-11-28,5260
709,Yes,2012-11-29,5323
710,Yes,2012-11-30,5668
711,Yes,2012-12-03,6234
712,Yes,2012-12-04,6606
713,Yes,2012-12-05,5729
714,Yes,2012-12-06,5375
715,Yes,2012-12-07,5008
716,Yes,2012-12-10,5170
717,Yes,2012-12-11,5501
718,Yes,2012-12-12,5319
719,Yes,2012-12-13,5532
720,Yes,2012-12-14,5611
721,Yes,2012-12-17,4585
722,Yes,2012-12-18,5557
723,Yes,2012-12-19,5267
724,Yes,2012-12-20,4128
725,Yes,2012-12-21,3623
726,Yes,2012-12-24,920
727,Yes,2012-12-26,441
728,Yes,2012-12-27,2114
729,Yes,2012-12-28,3095
730,Yes,2012-12-31,2729
